Personnel_No,Personnel_Subarea,Personnel_Area,Cost_Ctr,Cost_Center,Gender_Key,Job_Position,Entry,Leaving_date/Today,Birth_date,length_of_service,Age,Status
60000028,Valdosta,US-GA-Valdosta-Best Drive,98653,BD Hill Valdosta Ret,Male,Retread Tech I,11-10-2007,21-04-2017,22-01-1985,9,32,Terminated
60000033,"GA, Valdosta",US-All-Best Drive,98653,BD Hill Valdosta Ret,Male,Retread Tech I,29-05-2013,25-03-2017,09-08-1992,3,25,Terminated
60000038,"GA, Forest Park",US-All-Best Drive,98651,BD Hill ForrestPa Re,Male,Retread Tech I,01-04-2010,21-07-2017,28-12-1972,7,44,Terminated
60000062,Forest Park,US-GA-Forest Park-Best Drive,98051,BD Hill ForrestPa,Male,Service Tech II,17-06-2015,22-09-2017,01-03-1975,2,42,Terminated
60000068,"GA, Forest Park",US-All-Best Drive,98054,BD Hill Birmingham S,Male,Commercial Sales Associate,20-04-2015,28-04-2017,12-04-1981,2,36,Terminated
60000078,"GA, Forest Park",US-All-Best Drive,98051,BD Hill ForrestPa,Female,Accounting Associate,05-10-2015,07-04-2017,19-01-1978,1,39,Terminated
60000080,"GA, Forest Park",US-All-Best Drive,98651,BD Hill ForrestPa Re,Male,Retail Operations Associate  I,28-04-2011,04-08-2017,11-08-1960,6,57,Terminated
60000083,Forest Park,US-GA-Forest Park-Best Drive,98051,BD Hill ForrestPa,Male,Service Tech II,11-07-2002,10-02-2017,25-11-1964,14,52,Terminated
60000091,Forest Park,US-GA-Forest Park-Best Drive,98651,BD Hill ForrestPa Re,Male,Retread Tech I,22-12-2010,21-01-2017,20-04-1986,6,31,Terminated
60000104,Forest Park,US-GA-Forest Park-Best Drive,98651,BD Hill ForrestPa Re,Male,Retread Tech I,30-07-2012,07-09-2017,20-05-1968,5,49,Terminated
60000105,"GA, Forest Park",US-All-Best Drive,98051,BD Hill ForrestPa,Female,Retail AP/ AR Clerk,07-03-2005,30-09-2017,08-06-1955,12,62,Terminated
60000108,Forest Park,US-GA-Forest Park-Best Drive,98651,BD Hill ForrestPa Re,Male,Retread Tech I,16-12-2015,02-09-2017,16-06-1963,1,54,Terminated
60000111,AH-S.PT-Holding,US-MI-AH-South-CAS,205-P634,P FEM CTF Sales ABH,Male,Principal Staff Engineer,30-11-2011,31-03-2017,03-10-1970,5,47,Terminated
60000113,AH-S.PT-Holding,US-MI-AH-South-CAS,205-P634,P FEM CTF Sales ABH,Male,Intern/Student Program - Non Technical,02-06-2014,12-05-2017,26-08-1996,2,21,Terminated
60000117,Sumter,US-SC-Sumter-CTNA Prod,71120,Controls & Drives,Male,Associate Electrical Engineer,11-01-2016,20-01-2017,28-02-1993,1,24,Terminated
60000128,Morganton,US-NC-Morganton-CAS Inc.,161159,Fin. Ably MK100 MOD9,unknown,Temporary / Contingent,03-01-2016,08-01-2017,,1,117,Terminated
60000130,Sumter,US-SC-Sumter-CTNA Prod,71020,RM Warehouse,Male,Material Handler SMT-002,11-01-2016,03-02-2017,20-08-1991,1,26,Terminated
60000147,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12180,MV PII Trk Tire Bldg,Male,Tire Builder Operator MVN-222,06-06-2016,24-02-2017,15-06-1976,0,41,Terminated
60000148,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Male,,30-12-2015,15-02-2017,13-06-1991,1,26,Terminated
60000184,Morganton,US-NC-Morganton-CAS Inc.,161157,Fin. Ably MK25E MOD6,Male,Material Handler,10-01-2017,31-08-2017,17-06-1995,0,22,Terminated
60000191,Newport News,US-VA-Newport News-C Auto Sys,214-K058,GHPP,Female,Production Associate,15-01-2016,15-05-2017,07-05-1990,1,27,Terminated
60000202,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,22060,MV CF Tire Assem PLT,Male,Tire Builder Operator MVN-222,09-05-2016,20-02-2017,13-01-1993,0,24,Terminated
60000207,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12030,MV Mixing,Male,Mixer Machine Operator MVN-217,11-07-2016,12-03-2017,19-03-1991,0,26,Terminated
60000209,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12240,MV Pass/LT Curing,Male,Press Operator MVN-212,11-07-2016,30-07-2017,18-04-1995,1,22,Terminated
60000220,Sumter,US-SC-Sumter-CTNA Prod,80660,Tire Building,Female,Tire Builder Operator SMT-004,05-01-2011,26-03-2017,17-10-1974,6,43,Terminated
60000222,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12910,MV Industrial Eng,Male,Manager Industrial Engineering,11-01-2016,07-02-2017,22-10-1986,1,31,Terminated
60000224,Sumter,US-SC-Sumter-CTNA Prod,70200,Head of HR,Female,HR Coordinator,11-01-2016,15-02-2017,12-02-1988,1,29,Terminated
60000230,Sumter,US-SC-Sumter-CTNA Prod,71020,RM Warehouse,Male,Material Handler SMT-002,11-01-2016,24-03-2017,26-01-1989,1,28,Terminated
60000260,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,Female,Material Handler,13-01-2016,24-02-2017,29-04-1979,1,38,Terminated
